Gene Pearson Spearman Source
MFNG 0.969470093946566 0.818181818181818 Isoform_MR
MGMT 0.722808856272572 0.701863354037267 Isoform_MR
CXCL9 0.980067443735707 0.968379446640316 Isoform_MR
MKI67 0.858573084004072 0.945793337097685 Isoform_MR
MMP1 0.976412188670839 0.769361712734299 Isoform_MR
MMP7 0.986306029030795 0.961603613777527 Isoform_MR
MRC1 0.861015967824498 0.944664031620553 Isoform_MR
IRF4 0.991209304146667 0.980801806888763 Isoform_MR
MYC 0.988324321427582 0.980801806888763 Isoform_MR
MYD88 0.925648414785637 0.954827780914737 Isoform_MR
NBN 0.553840367575702 0.616036137775268 Isoform_MR
NGFR 0.919365913428122 0.91304347826087 Isoform_MR
NRAS 0.906966178123539 0.837380011293055 Isoform_MR
NT5E 0.931353152375756 0.858836815358554 Isoform_MR
OLR1 0.957833911153021 0.929983060417843 Isoform_MR
TNFRSF11B 0.888802628000819 0.919819311123659 Isoform_MR
PDGFB 0.757374150540856 0.489553924336533 Isoform_MR
PDGFRB 0.929438824395289 0.910784867306606 Isoform_MR
PDK1 0.976371816771686 0.948051948051948 Isoform_MR
PF4 0.52957311598905 -0.0570460344690975 Isoform_MR
SERPINB5 0.849001284782332 0.396950875211745 Isoform_MR
PRKCA 0.815574822827711 0.780914737436477 Isoform_MR
PSMB9 0.967361013509571 0.896103896103896 Isoform_MR
PSMB10 0.909704272383816 0.68944099378882 Isoform_MR
TWF1 0.766139457977133 0.64652738565782 Isoform_MR
CD45RA 0.944645340753883 0.826086956521739 Isoform_MR
NECTIN1 0.938331354539919 0.932241671372106 Isoform_MR
S100A8 0.996868274259274 0.968379446640316 Isoform_MR
S100A9 0.981153086121936 0.944664031620553 Isoform_MR
CCL2 0.997692160198665 0.976284584980237 Isoform_MR
CCL4 0.873698778287295 0.789949181253529 Isoform_MR
CCL5 0.980103312804569 0.945793337097685 Isoform_MR
CCL18 0.966228054516195 0.826086956521739 Isoform_MR
CCL21 0.999704942661554 0.917560700169396 Isoform_MR
CCL22 0.947385570252636 0.669113495200452 Isoform_MR
CXCL6 0.899401098726881 0.860209014816193 Isoform_MR
CXCL5 0.968938332842249 0.750423489553924 Isoform_MR
XCL1/2 0.597564441809673 0.713156408808583 Isoform_MR
CX3CL1 0.983923524565413 0.966120835686053 Isoform_MR
SELP 0.913212673190123 0.840767927724449 Isoform_MR
SFRP1 0.926761213063682 0.945793337097685 Isoform_MR
SFRP4 0.973177359157917 0.968379446640316 Isoform_MR
SLC16A1 0.871587319108209 0.869000564652739 Isoform_MR
SOX2 0.902697398651483 0.74025974025974 Isoform_MR
SOX11 0.96372533525298 0.672691356957377 Isoform_MR
SPIB 0.998675371240733 0.828345567476002 Isoform_MR
TRIM21 0.668449080932599 0.612648221343873 Isoform_MR
STAT3 0.848871192142042 0.894974590626765 Isoform_MR
STC1 0.981403474384541 0.872388481084133 Isoform_MR
SYK 0.978397313590412 0.897233201581028 Isoform_MR
