PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
PLA2G2A,2.4012,2.46926,0.39166,0.0792554,0.293601,13.9564,0.344436,2.90316,0.0928896,0.200211,0.329158,19.1066,0.0921691,0.657861,5.66011,33.6608,0.398076,2.98779,0.84583,0.199857,1.0314,4.67491,0.0887794,2.55122,0.977307,0.126472,0.244905,1.28241,0.335593,2.1848,0.0944193,3.2431,21.2802,1.44689,0.362331,0.543963,0.266009,0.811866,1.0451,6.09708
PTEN,13.8992,15.2034,7.02963,12.3785,10.1528,9.88575,10.229,14.4795,19.9378,18.6827,4.88804,16.1201,33.4069,12.2462,11.7737,9.95708,13.6197,17.3253,18.0222,10.46,19.9554,28.0624,17.7302,16.2254,10.0842,16.2433,10.4195,12.9271,22.2321,23.2632,2.465,13.2053,20.3961,21.7877,14.146,22.2219,21.8916,19.3432,18.5697,28.993
RB1,9.1631,8.56628,5.6111,7.35381,6.09209,4.41254,13.1278,14.1702,10.0384,10.0042,4.60579,8.99217,16.9017,7.99146,8.58648,6.2721,9.7547,10.8463,5.31851,3.28825,11.5203,13.4601,5.26809,5.82477,4.2696,10.3349,6.73427,15.1542,7.35108,9.81968,11.735,10.9013,8.71649,5.57785,6.69063,9.92312,9.80607,7.89655,11.3445,10.0636
THBD,0.823012,3.15549,0.871884,1.69004,1.35934,3.7712,2.18099,0.938335,0.243787,2.01422,0.603856,3.92778,0.478753,4.29324,0.938616,10.7705,0.696085,2.93006,0.576312,1.98744,0.687877,2.75109,0.748928,0.791238,1.7599,2.54129,0.719204,2.41062,0.36985,3.02258,0.673711,2.65983,4.54743,1.0653,3.10277,1.13906,1.84603,3.5992,1.55304,3.83559
TPI1,56.5042,25.7383,85.3626,42.5438,97.661,82.7978,45.6587,23.5443,46.3122,31.9113,189.834,39.5369,57.6929,38.8501,83.7406,66.5609,58.4933,44.2793,22.8036,53.7644,46.7828,29.0005,121.57,54.6103,101.557,36.4094,74.6296,41.8677,65.6578,47.1443,124.03,53.7061,34.9795,21.8148,60.0087,29.4475,64.8842,34.46,70.1235,24.6815
TPM1,8.59434,44.7186,12.0819,25.3855,14.972,22.7542,19.0528,52.7469,6.72014,10.4258,15.8415,28.9939,21.5479,21.5579,12.5259,21.0152,7.29927,23.7627,22.3821,12.1835,19.2935,29.9607,26.8221,23.0297,22.447,12.5727,32.716,6.56804,13.1689,43.5451,16.951,36.6772,35.0341,23.6007,22.3216,43.5511,40.5005,23.2433,49.0363,20.4686
CDKN1A,3.02272,7.59491,0.546093,1.9766,1.70574,4.63364,1.78534,3.7134,1.05201,4.56444,0.756098,11.8888,0.551629,6.99365,2.23006,15.4272,2.26145,8.07105,1.06398,1.96672,1.89727,5.58608,0.51149,4.24018,2.2888,4.08044,2.02077,4.43187,0.753193,5.86325,0.79809,2.57771,5.71565,2.06195,4.58632,1.61128,2.70179,1.59407,3.7215,4.54279
CSF2RB,1.4845,1.59781,0.516421,3.38738,6.84719,2.21748,0.581538,0.41048,0.376398,3.12341,0.242772,3.45274,1.46279,3.81769,8.79549,13.3601,0.494566,3.0303,0.698661,0.771878,2.38819,1.72507,0.890793,0.41747,4.02472,9.49365,0.602897,3.64131,1.11197,3.01928,0.503752,1.88643,2.33251,1.10485,1.4682,0.88715,0.559677,0.785395,2.4913,3.83381
CYBB,5.85726,6.21298,1.13682,9.64895,24.3006,8.83574,2.19982,1.73799,2.19049,9.19852,1.30017,25.1919,17.3049,10.5225,19.2579,17.8945,4.38361,16.79,10.0982,3.50235,14.3137,13.091,5.30517,11.0832,7.90771,37.9089,5.69429,12.0283,6.69207,14.9878,3.17977,9.77243,13.3995,4.35957,5.58229,5.51584,2.67381,4.9194,13.3122,12.755
G6PD,5.12937,4.34999,6.48188,6.48506,4.74166,4.59543,8.81907,4.57825,6.58594,5.60148,6.59083,6.97794,4.14017,5.20456,9.09646,10.4486,5.06232,6.46683,4.61033,5.7742,5.04815,3.83377,11.9744,4.91304,8.61152,6.66788,3.84525,4.17315,4.21098,4.99446,3.58813,3.8565,4.59227,2.59362,4.02734,2.73853,3.07246,2.97078,6.91751,5.26141
