PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
PRKAA2,2.16518,1.84178,1.1648,0.857915,2.7666,2.38085,0.570697,1.36936,4.04589,3.01008,5.04499,2.39109,0.129946,0.098106,0.439105,0.457592,1.17203,0.60473,0.67686,2.13352,1.90122,1.32716,4.74798,2.95442,1.25423,0.541755,0.904323,1.01422,1.57043,0.993563,3.13027,2.14652,0.223003,0.20123,3.86102,5.12434,3.49871,2.56306,1.15095,0.852158
CCL7,0.04665,0,0.364149,0,0.406825,0,0.276916,0,0,0.0521213,0.135301,0.0485749,1.07976,0.146796,0.103931,0.143588,0.0293298,0.290643,0,0.195109,0.0885186,0,0.0619075,0,0.228152,0.0987742,0.1234,0.0913829,0.061429,0.349158,0.0737411,0.16341,0.514076,0.192616,0.332917,0.0903901,0.0799047,0.107106,0.969768,0.113197
CCL19,1.11975,0.625877,0,0.814452,0.289031,0.852413,0.0441652,0.0623483,0.080993,0.290949,0,3.82325,0.401824,9.62841,8.93443,30.5498,0.0654893,5.74798,0.538944,0.0816846,3.21181,5.52596,0.110585,0.0934655,2.59347,21.7792,0.154988,2.02005,0.114302,3.11849,0.288144,0.136827,1.89059,2.65219,0.0464598,0.151371,0.044604,0.191321,0.0676673,8.10912
THY1,11.4288,14.9003,63.4356,33.9378,6.59624,4.32566,18.859,11.9329,3.2334,12.7958,7.804,8.1081,4.57833,10.3005,24.9045,26.9136,48.9614,38.8348,9.35532,13.79,11.0623,10.0109,10.2037,3.87766,14.229,5.79071,7.78709,4.13151,5.60702,16.9462,15.1524,14.0309,20.5163,8.81871,19.8933,10.1507,29.294,13.9155,26.0872,10.1893
MAP3K12,10.6014,10.6872,18.049,9.71727,5.90616,7.39701,13.7848,10.5539,7.28694,9.84711,17.659,12.251,2.13996,3.78657,7.48656,6.34718,9.63595,7.60607,5.4273,6.78608,10.3264,7.49429,12.3113,10.8239,10.8686,6.86557,13.6541,14.7833,6.28053,5.7542,13.3908,12.3667,10.0086,6.82622,10.3109,8.41867,11.1296,11.5427,11.0003,9.76559
CXCL13,1.18161,1.06836,0.0439218,1.07988,14.4977,1.09557,0.0238573,0.0505191,0.0984396,0.738677,0.0203991,2.38748,4.17836,12.8589,3.13391,2.51124,0.318385,5.07059,0.888706,0.235331,0.387029,2.51968,0.328547,0.00841472,2.65179,13.1795,0,3.20745,0.185231,0.485223,0.0555893,0.369556,1.78721,1.81987,1.78187,0.27256,0,0.0387556,0.328974,2.35518
IFITM2,127.326,116.288,329.638,196.355,120.15,158.327,277.875,191.344,147.247,222.601,146.447,239.934,201.521,125.207,125.471,196.183,176.886,344.411,390.187,359.088,192.415,135.986,127.461,99.8279,330.336,298.361,75.0651,270.722,112.348,196.949,227.973,202.623,201.401,151.271,98.2789,112.978,183.835,214.624,271.535,164.65
PARP4,17.6012,19.3329,21.2281,32.6279,21.9771,25.2065,21.6601,23.7467,20.3684,23.0933,13.2502,22.1914,24.7234,20.5499,23.3841,19.2901,48.952,44.2847,26.1536,17.2336,30.1211,32.4512,16.683,19.5617,33.3703,43.88,18.3276,17.3361,16.7646,19.2125,21.5358,26.2653,23.0998,28.3373,16.5898,21.8026,22.0921,26.4983,26.4203,23.7796
PSMC4,30.2238,17.3334,12.1386,18.0229,19.3483,13.9164,21.1818,15.7084,24.7204,20.9828,78.7928,34.5266,39.0485,28.4869,95.1972,80.6878,28.1853,29.047,22.4317,21.6558,22.8743,18.562,22.5567,16.9751,35.0493,26.9082,20.8125,56.1923,20.1659,23.0846,30.2863,23.0115,21.4613,13.8929,25.4418,24.1667,22.4033,19.8727,65.3306,27.0789
RELB,4.63192,5.04335,4.30337,6.17376,7.54544,3.89485,5.49564,3.41969,2.3976,5.16025,4.0554,4.5937,6.56544,10.4433,4.08414,13.7698,4.43541,5.97599,2.8426,8.40919,6.68679,4.18967,4.98833,2.97443,8.475,7.299,2.42754,6.30176,4.40019,6.11179,3.33913,2.58339,3.78128,2.29647,5.67994,2.41184,4.81287,6.09267,5.26075,3.96779
SLC2A1,20.5428,8.93048,10.0319,5.88007,4.78354,11.9137,20.8784,8.88612,6.73588,6.44146,84.1067,4.25945,23.8732,17.4983,8.02498,11.9952,49.2569,31.0459,8.57752,86.7425,11.9786,10.0531,17.964,5.30447,21.3514,5.38628,17.4653,5.72946,16.3656,18.2205,23.8779,4.41815,8.30858,9.14298,17.2801,8.80547,12.6778,5.326,12.6043,4.06691
CXCR6,1.01314,1.17907,1.70658,2.72397,1.21328,1.98622,1.15759,1.12349,2.66186,2.45458,0.409835,2.98716,1.1245,3.59501,2.06708,2.57446,1.02923,2.19264,1.667,1.11509,1.54807,2.2846,1.3728,1.62998,1.6975,5.75808,1.02968,1.7256,1.3856,1.42983,1.62679,1.69974,2.18454,1.04213,1.25578,1.09519,2.0459,1.35159,0.997641,2.03141
KIR3DL2,0.0214486,0.0412405,0,0.10164,0.0255066,0,0.00909423,0,0.0166776,0.119821,0.015552,0.134001,0.0413705,0.345904,0.183176,0.245211,0.0404554,0.343622,0,0,0.132271,0.207672,0.119547,0.0256611,0.0858265,0.181656,0.0212761,0.00840314,0.0470726,0.0279191,0,0.056349,0.027807,0.11808,0.00956671,0.0311694,0,0.108338,0.0185782,0.182158
MARCO,0.358245,1.27525,0.876726,4.50566,13.8017,5.84697,2.99687,0.162274,0.143043,3.24536,3.61554,0.373027,1.78039,0.327529,4.09131,3.22713,3.00111,4.71385,0.706627,5.81107,1.68106,0.796851,3.91124,0.735578,2.25574,4.28466,2.72766,0.121387,2.58394,6.40873,1.30093,2.3402,12.7535,1.09273,11.8416,0.553438,0.5307,0.569086,9.68645,1.19037
KIF2C,5.07378,0.907628,1.91349,0.894768,12.2469,2.16244,3.45985,1.17646,6.48656,0.94378,9.10321,2.50647,16.9532,0.729674,4.61664,2.14604,11.2292,2.94343,2.15897,5.22433,2.90187,1.17603,9.86464,3.77163,3.57894,1.49045,5.48388,6.8481,2.51544,0.815671,11.101,5.03791,2.89886,0.478713,4.96444,1.59394,2.79916,0.750408,5.59986,1.31734
TLK2,15.1365,10.6128,3.98193,6.42095,9.12828,7.56489,11.0218,12.3176,18.5929,11.7481,9.25879,9.27696,8.63006,5.80499,11.1029,7.21284,13.2958,11.1225,8.0941,8.19725,8.57766,8.8786,9.662,9.80698,8.89022,10.7934,9.2279,11.1439,9.02229,9.96156,15.7461,13.2245,8.39623,10.9485,8.61243,11.7516,7.9322,8.76502,8.75548,11.0089
RIPK3,3.14192,3.61391,2.90027,4.81527,2.9802,3.98976,1.31632,0.634344,0.998541,2.74425,0.479136,1.68771,2.22849,4.27156,4.87489,5.2356,5.04038,4.67183,2.9335,2.42479,4.52458,3.40528,0.893469,0.387833,2.06214,4.74521,1.78507,2.01738,3.64476,3.53391,2.14822,2.94798,3.13583,1.80179,3.24767,2.82046,0.90762,0.921744,2.74844,3.45899
SOX10,0.27541,0.387704,0.261052,0.340261,0.241739,0.222049,0.563018,0.612302,0.275333,0.104402,0.156903,0.286773,0.044268,0.274696,0.376184,1.00341,0.185524,0.372066,0.160712,0.303395,0.424605,0.210313,0.201017,0.441295,0.293006,0.312395,0.221158,0.42004,0.310852,0.195251,0.244883,0.146432,0.216783,0.230138,0.206197,0.104822,0.252716,0.162597,0.234292,0.425632
UBE2C,23.1974,1.42959,13.5626,2.93735,27.8594,3.09192,22.0873,3.33544,27.7985,4.07485,34.7411,11.8328,35.3441,2.49972,46.1597,13.9719,16.0609,4.06804,2.64278,12.2586,9.6826,3.32159,45.0009,11.8917,29.6192,4.12622,43.2684,26.1979,14.7717,3.53504,54.5951,20.1774,11.4047,1.27105,14.9267,2.30502,28.5,0.876883,28.5803,4.19063
ELOB,71.5775,35.2387,92.0494,58.9758,19.6937,26.0851,50.7556,34.5442,27.8626,29.369,56.519,38.7798,34.0533,41.4563,56.8396,67.2156,45.4285,43.7578,26.1252,27.7646,51.9266,31.6915,40.0507,39.0173,51.4613,31.0779,41.6346,41.1237,30.4231,37.5726,40.1126,33.4741,28.85,21.5644,45.1942,38.7613,26.0731,25.1238,47.747,19.1971
TNFAIP6,1.65937,3.89006,0.139494,3.5204,4.63479,1.91625,1.53705,0.68763,1.00244,5.64755,0.0370211,0.412024,7.2712,11.4876,2.33189,9.82218,1.5569,8.89556,3.03106,2.44241,2.38572,5.48943,1.65326,0.305427,2.883,3.54049,1.59538,1.58027,0.212904,3.50579,1.17027,2.10148,3.7565,1.84463,5.26062,4.63736,2.51431,2.88374,4.32297,3.23151
BRCA1,5.55043,1.90277,1.61081,1.74666,1.49366,0.949769,8.74587,6.8854,13.3679,3.14662,9.71155,4.69608,10.945,1.10268,5.71541,1.92128,0.466467,0.976086,5.35558,7.8662,3.42104,2.47483,12.9277,4.87559,2.62935,2.17777,7.07642,6.68128,2.77808,1.73723,7.94628,5.69789,8.51108,2.4799,5.27934,2.42042,8.45485,1.88321,5.38657,2.54736
STAT1,77.3088,29.5157,16.4996,28.1457,98.805,25.5703,45.3721,38.3977,39.3741,41.0719,18.9262,50.2827,61.8731,19.9143,68.9622,45.3629,37.9591,83.4002,44.2877,10.7793,43.3922,41.416,49.599,25.004,53.8437,108.753,33.9578,124.209,23.1449,26.9639,54.1396,54.4066,39.5183,23.805,15.5775,18.78,20.2043,19.369,37.1209,49.1321
KLRK1,1.36225,2.58113,0.227127,1.76113,3.08793,2.85135,1.56455,2.24035,0.133689,1.24864,0.426743,4.26913,1.64965,8.84383,6.20245,4.25113,0.611171,3.77862,2.01689,0.324976,2.51585,8.37696,3.96308,2.17569,2.71081,14.8628,0.384834,2.94313,1.12041,1.82915,1.16552,2.75652,2.66627,2.28445,1.35678,1.64009,0.849513,0.874521,1.35178,10.3123
NID2,8.70745,18.3621,1.76993,15.6694,8.12912,8.12233,5.41845,8.32031,5.80579,7.62462,0.678173,6.03356,4.26408,10.7,12.7551,21.6765,5.0053,17.3611,12.9837,11.0933,17.0841,14.364,6.82203,17.6779,8.83218,7.56471,9.08831,2.91173,7.03857,18.2722,6.27973,22.3382,25.5049,12.7167,16.2852,16.585,8.2745,8.8065,16.1481,14.878
BRD3,10.2755,8.38985,9.79894,7.28046,7.92594,10.9112,20.9054,9.12247,13.9196,10.2803,10.5243,6.5264,4.58883,4.90546,9.03968,8.40579,8.38751,6.31075,6.01417,13.5173,9.17399,6.01151,12.0015,11.4496,9.40015,5.58177,11.5442,11.9305,7.10081,6.45716,15.5163,10.8802,9.20754,10.1334,7.79795,6.23679,12.7817,12.3646,15.2143,8.53852
ICOS,0.646884,0.431673,0,0.165895,0.229274,0.283478,0.122619,0.0364425,0.112433,0.45916,0.1214,1.02225,0.802457,1.93979,0.989047,1.53264,0.0669873,1.19892,0.306723,0.0238723,0.353798,0.736864,0.173711,0.0819457,0.561688,4.30239,0.0452952,1.41328,0.0334047,0.361579,0.0541349,0.359888,0.601857,0.345653,0.0543114,0.0811033,0.0391065,0.146773,0.177982,0.923333
DKK1,0.0543795,0.566361,0,0.0343591,0.395194,1.31969,0.069171,0.358047,0.0704723,0.658205,0,0.377489,0.151506,0.784296,0.376915,5.40397,0.0512842,1.26647,0.0987237,0.0379062,0.206371,1.33093,0.019244,0.0216866,0.0725332,0.901932,0.0479487,0.056813,0.103433,0.23005,0.0573062,0.428592,0.458253,0.311848,0.210209,0.228295,0.0620962,0.449467,0.0549524,2.2945
BAMBI,0.884606,2.08992,0.778673,1.37354,0.440187,0.531118,0.79005,4.67532,0.358552,3.56439,0.197883,1.999,0.532446,0.799556,0.384376,1.61382,0.615336,1.85108,0.389532,0.334554,1.35712,1.92106,2.188,27.9729,0.987448,1.7435,0.945949,0.766882,1.25573,2.47444,0.632221,1.53286,2.74512,0.582846,0.780726,0.902601,0.870435,0.492625,2.31497,1.9486
SHC2,0.277749,1.75204,7.19658,2.2029,0.20861,1.28154,0.400817,1.37084,0.341,1.06708,3.23992,2.11072,0.0438608,0.881675,1.30634,2.91826,0.891513,1.76949,0.392777,0.871243,0.966221,0.82565,0.349191,1.88886,0.671614,0.257934,0.373799,0.332177,0.538987,1.0529,0.685528,0.73396,0.612781,0.603586,1.33447,0.769492,0.600939,1.31566,0.848356,1.16662
GNLY,0.39586,0.64063,0.278107,1.17556,1.05659,1.63092,0.0951123,0.0710844,0.159033,0.538117,0.167435,0.906827,0.118774,0.695503,0.935827,3.2376,0.0829617,1.94957,0.68992,0.144869,0.682291,0.489753,1.54097,0.157869,1.87151,2.03257,0.109077,1.10631,2.95387,0.678454,0.0938622,0.462218,0.812588,0.671957,0.311932,0.178973,0.0452034,0.0787687,0.137153,0.474942
CLEC5A,0.277884,0.501496,0.281609,0.471288,0.255091,0.44573,0.421682,0.350171,0.0454887,0.266899,0.240372,2.24373,1.67379,0.387358,0.242568,0.874615,0.269729,0.594455,0.302691,0.637182,0.249767,0.373689,0.320893,0.504523,0.46819,0.660632,0.303053,0.798376,0.569206,1.12956,0.219629,0.273234,0.474029,0.315359,0.304425,0.250324,0.651333,0.411904,0.548954,0.169557
KIR3DL1,0,0.0413728,0,0.0101966,0.017059,0.0607194,0,0,0.016731,0.048082,0.00780094,0.0224052,0,0.00846374,0.0639176,0.217613,0,0.057454,0,0,0.0102073,0.0347231,0.108508,0.0257434,0.114802,0.250578,0.0284591,0.0505805,0.16056,0.0210065,0.00850329,0.0565297,0,0.0888442,0.0575843,0,0,0.039522,0,0.017404
TBX21,0.375751,0.449706,0.143662,0.574154,0.328292,0.779013,0.338146,0.0642603,0.184841,0.325575,0.0611623,1.69277,0.374704,1.90631,2.32346,2.30637,0.163923,1.07838,0.342471,0.112253,1.01128,1.48496,0.529173,0.174315,1.26149,5.21195,0.070996,1.08756,0.25581,0.51905,0.115156,0.201461,0.606442,0.263853,0.307829,0.364031,0.131348,0.063382,0.199264,1.90415
FOXP3,1.77982,1.29536,1.27191,0.879057,0.650867,0.969118,0.972536,0.607692,0.57988,1.0503,1.35413,1.40299,0.701096,2.08053,2.34098,3.05878,1.01262,2.27019,0.716776,1.10086,1.21294,0.70792,1.80305,1.0197,1.69968,3.92772,3.05441,3.55033,1.27086,1.04417,0.911387,1.35008,1.03998,0.914286,0.66527,0.327861,0.826549,1.38706,1.35707,1.52068
CD274,0.553708,0.579433,0.183599,0.371527,1.18097,0.34292,0.290869,0.451684,0.190505,0.591275,0.088824,0.535737,0.800216,0.755547,1.00435,1.11178,0.237219,0.675996,0.362951,0.158829,0.464895,0.628635,0.309528,0.219842,0.47494,1.63408,0.356449,1.19793,0.34413,0.382698,0.278845,0.403363,0.381162,0.18209,0.257898,0.22312,0.461621,0.414009,0.411698,0.693586
UBE2T,7.54247,0.890291,7.20974,3.56845,8.72316,1.4579,4.94943,1.6775,9.06711,2.40968,5.87533,2.35991,21.1523,1.39952,4.84114,2.48605,8.18951,2.94986,4.59236,4.15342,7.27153,3.99161,14.4302,4.09643,9.8166,3.01856,11.4262,18.045,3.6369,1.74469,9.1779,5.39932,4.72335,1.40871,7.76095,5.02888,3.96549,0.962368,7.54629,1.7543
PIK3R5,0.340587,1.0777,0.389372,1.0853,0.678232,1.7557,0.261529,0.28894,0.279424,1.49516,0.297511,2.78686,0.520718,2.8819,2.29827,4.41498,0.300124,2.0599,0.528737,0.558011,0.788748,1.57743,0.382937,0.352934,1.11366,4.26438,0.331641,1.27552,0.39787,1.44345,0.326417,1.08031,1.10215,0.96704,0.677025,0.431292,0.271017,0.613258,1.13589,1.70059
CLEC4E,0.423866,1.25445,0.0259505,0.622277,5.34371,4.80316,0.0986697,0.407928,0.116323,1.46717,0.0602624,3.15007,2.41528,1.17035,1.11097,1.02326,0.0992818,0.7989,0.615608,0.0608306,0.339062,2.50801,0.0529409,0.134236,0.665137,3.58988,0.0714503,1.52387,0.116737,0.427325,0.0525504,1.10629,0.861995,1.65862,0.274318,0.225453,0.227771,0.335839,0.611902,2.33264
GPR160,2.19628,1.65648,0.37301,1.12787,3.72648,1.90337,1.1689,2.2772,5.4519,5.5443,3.38486,2.4687,9.10465,1.89768,5.08414,1.85065,2.50747,1.59081,3.03798,2.10426,1.36009,1.56448,3.7902,1.30007,2.09598,4.57731,3.6523,2.8298,2.85577,1.79724,7.42281,5.98727,3.5741,4.01562,1.45916,3.42314,2.34529,2.34192,4.21464,2.8133
BBC3,1.46224,1.07106,0.741181,0.557939,0.797933,1.25753,0.547524,0.31827,0.49712,0.530433,0.872061,0.75799,0.284888,1.05073,0.681625,1.02985,0.891479,0.580301,0.179273,0.661868,0.468439,0.214513,0.362895,0.287784,1.01881,0.542815,0.259537,0.208319,0.611263,0.968158,0.305185,0.321514,0.525221,0.104546,0.852661,0.772707,0.596333,0.110453,0.455081,0.255997
SIGLEC8,0.368184,0.891015,0.0198209,0.192524,0.427778,0.0859838,0.0215325,0.0151988,0.266541,0.758899,0,0.211518,0.465278,1.638,0.608132,1.03836,0.231484,1.63849,0.262759,0.0265499,0.156589,0.727317,0.0539148,0.0113921,0.208857,3.44087,0.0293858,0.507353,0.156036,1.09485,0.0200689,0.355781,0.123448,0.532949,0.0679535,0.2829,0.0434928,0.198214,0.0989723,0.220783
ERO1A,4.0851,3.09418,3.8757,3.03518,5.76067,3.8285,2.04187,2.1579,3.21995,2.36254,6.93139,2.83484,11.0888,3.81784,3.89313,3.01566,11.4119,10.0391,5.7336,9.99814,4.35641,5.02591,7.50613,2.39266,4.15894,5.68827,4.7188,2.91677,2.47662,3.2835,5.71348,3.58675,2.93154,2.34144,5.55661,3.85952,9.96138,5.16709,5.68407,3.23299
MRPL19,2.91582,1.71956,2.30067,2.06836,4.39322,2.50906,3.29683,3.74379,3.20665,2.57657,2.82221,2.12014,4.11971,1.88676,2.5697,1.61254,3.01295,3.02973,3.85497,2.18072,2.74291,2.92086,4.58723,3.1251,4.35536,3.5585,4.90691,4.44428,2.33652,2.23451,3.5582,3.28638,4.03398,3.90162,2.59908,3.51366,3.20241,2.82038,3.2369,2.5131
MELK,8.88123,0.758537,3.36963,1.81694,20.4924,2.56138,11.1366,2.84144,16.8586,2.60092,5.21506,3.16404,36.4239,1.41069,7.06518,2.21925,10.2001,4.33538,3.68638,6.74308,11.0306,4.2301,15.5138,4.91879,8.02495,3.68637,19.849,24.4025,4.88287,1.57026,18.234,9.98168,8.19174,1.28337,4.60697,1.40245,10.6888,0.694663,12.0586,1.86706
EPM2AIP1,7.14912,6.73728,8.5043,9.79017,8.53511,6.17102,8.36898,9.48662,12.206,10.1492,4.79573,7.81811,10.964,6.5459,8.38314,4.63799,7.28262,6.00142,12.5957,10.7801,8.57595,8.90236,9.42157,10.0425,9.1921,10.0259,6.31022,6.50823,8.09833,7.36147,11.5514,10.1828,9.76305,9.13031,6.73542,10.5644,12.3981,14.0388,5.81259,8.4092
ARNT2,4.34747,2.25362,9.23651,6.72671,1.72437,1.77964,4.58462,6.14821,2.26171,1.96213,4.36905,3.41884,1.65268,1.72336,1.07425,1.87846,1.59813,1.18792,3.59916,2.02667,3.55941,2.68071,7.23259,5.11727,3.43555,1.84818,4.72974,3.4004,3.53102,2.66694,4.39227,2.77507,2.38808,1.81904,1.48537,1.47958,3.22195,3.61748,5.01412,1.76345
GLS,7.25743,9.6219,4.43873,7.28211,9.68529,6.10862,11.5739,13.5728,4.36253,9.33074,5.90238,9.67486,8.47352,11.5202,12.8267,7.93697,6.09545,13.2908,7.34305,4.67982,8.77644,15.2467,9.512,9.2342,6.40975,15.5833,6.22172,6.63362,6.8512,9.74012,7.70145,12.7648,14.3802,9.55438,7.52475,11.9844,22.1427,15.7098,11.6001,13.165
DTX4,9.81285,4.35896,13.3999,10.5488,5.00615,2.85384,3.15765,2.12395,15.8611,15.8897,3.82756,2.73038,6.64707,4.96264,2.92096,2.9692,4.11761,2.77667,8.59951,17.2456,10.4173,4.19108,7.21373,7.71942,4.28221,1.43439,8.93313,0.392295,20.4537,8.29074,6.72939,3.13481,3.02226,2.70457,7.76552,5.03836,6.73713,6.91408,3.7755,2.42716
ICOSLG,4.53188,2.87764,2.66117,2.33853,0.832016,1.78783,2.86721,1.67427,4.40351,2.86998,1.41409,2.56026,1.4437,4.07038,2.71097,4.85342,2.8249,2.30928,0.718287,2.09325,3.88459,2.22734,1.56944,0.928151,3.41665,3.84187,2.10771,1.71725,1.95799,2.02946,2.50712,1.77769,2.9307,1.34652,2.01655,1.023,3.40692,3.22983,3.00704,2.17004
PRR5,1.68994,3.06473,4.74899,3.62193,1.12664,2.58816,1.08458,0.98855,1.37973,2.58332,1.73776,1.71968,0.498817,3.514,2.90931,4.76589,1.67344,2.84073,1.05428,1.68267,1.66164,1.78501,1.48219,1.27974,2.65027,2.61451,1.73731,1.19476,2.63667,2.22475,1.17478,1.45974,2.26562,1.74971,3.10414,1.05676,2.34859,1.67545,1.25087,2.39204
OLFML2B,11.783,28.9857,0.819011,26.899,19.7906,16.1144,9.38718,3.05542,3.98287,17.4654,0.888983,4.86715,7.12477,14.4399,11.9677,27.4581,7.6639,19.9884,14.0355,22.0335,17.4481,14.2204,7.70651,1.84413,10.3938,14.4962,7.26981,6.9326,3.33241,18.3568,6.68997,11.0774,26.2956,15.5681,35.7189,13.8539,15.8714,6.56092,26.978,11.5329
TBC1D10B,10.011,9.32834,17.0941,14.5872,8.4342,12.3329,10.9012,5.96441,11.9225,8.7183,9.39053,6.86065,7.39654,8.75086,10.0838,11.7241,13.3627,10.1436,4.34796,8.56901,15.6802,8.09624,6.10056,7.32324,10.979,6.065,6.26876,7.09988,12.4455,10.1723,9.05121,7.25568,10.5344,8.78038,15.8083,10.6501,6.82213,5.68813,8.1076,7.38997
KIR2DL3,0.0506402,0.0973691,0,0,0.100369,0.200061,0.0429431,0,0,0.240463,0,0.0263649,0.048838,0.358543,0.159829,0.267206,0.0955156,0.0563399,0.0965319,0,0.0600563,0.0204298,0.477139,0.0454395,0.146349,0.28146,0,0.0595196,0.177822,0.0576775,0,0.0886935,0.0328263,0.0174243,0.327512,0.0981216,0,0.10464,0,0.471035
PIAS4,2.33787,2.60132,3.18149,2.72542,2.84527,3.85289,4.29147,2.32438,2.70695,2.79548,3.92389,2.95303,1.25199,2.7699,4.17438,4.55005,2.55892,2.56952,1.54768,2.89431,2.58863,1.58032,3.58178,3.57587,3.61918,2.55295,3.96058,4.05406,2.7083,2.04473,1.44959,1.79451,2.27504,1.51923,3.96401,2.90112,3.16089,2.86446,3.01544,2.28013
PLA1A,0.148489,0.347963,0.0434662,0.30785,0.213371,0.282837,0.535155,0.822141,0.0865942,0.145166,0.0201875,0.831058,0.859225,0.898011,0.661631,1.23239,0.0933578,0.636025,0.141527,0.0194075,0.405027,0.629001,0.152717,0.0499646,1.19661,2.64294,0.0613727,0.676284,0.342178,0.47717,0.0880202,0.308833,0.192508,0.229914,0,0.143857,0.0794811,0.0681841,0.0643084,0.42036
C1QA,30.7387,40.5443,10.5355,53.7622,217.247,73.7508,31.1175,15.3079,23.914,69.4067,4.90506,129.282,56.6693,68.9111,183.698,129.634,42.3347,193.596,40.0249,27.6894,50.6877,60.973,23.0871,38.4439,75.7358,204.075,39.226,125.483,39.2095,95.659,27.5419,51.901,156.624,36.016,84.6173,29.1246,21.4221,19.6835,110.902,67.4212
MAGEC2,0.0201901,0,0,0.0191353,0.0800334,0.0227896,0,0,0.015699,0,0.0585579,0,21.6783,6.79806,12.0325,8.86894,0.0126939,0,0,0,0.0957768,0,0.0482282,0,0.125674,0.0213747,0.0267036,0,0,0,1.00532,1.14926,0,0.0555759,0,0.058681,0,0.0370841,0.244833,0.114313
CENPF,21.785,2.9029,26.2678,5.53068,88.8916,8.24138,31.9126,7.66301,54.3479,5.77239,42.8789,13.045,78.311,2.08917,15.1921,3.85803,25.4493,6.47699,4.8256,9.31112,15.0421,7.33959,86.8851,15.2558,19.6124,5.12636,45.3772,27.735,19.7269,4.01572,45.8753,23.3437,21.2366,3.53161,19.4443,4.78478,22.218,2.27259,35.3298,6.83868
TRAT1,0.111477,0.382755,0.0248624,0.233946,0.353514,0.395464,0.0877802,0.0857906,0.0371485,0.293584,0.132792,1.09443,0.880552,2.12353,1.77989,1.1204,0.115144,0.878795,0.260204,0.0915828,0.6648,1.60618,0.300099,0.0333427,0.778859,5.46251,0.0526572,1.04819,0.0699014,0.450866,0.0125867,0.418382,1.04264,0.372609,0.0497219,0.215999,0.0954716,0.146253,0.317262,2.76295
TLR7,3.03045,3.73945,1.08762,9.15564,2.89348,1.45912,1.53927,1.39461,2.97931,4.25072,0.401301,6.90743,6.98738,3.8181,5.55584,3.42067,1.90531,4.69173,6.53875,4.43934,4.24479,2.71684,0.984085,2.27586,1.28026,9.66165,9.10656,3.56334,5.71141,8.32511,9.24723,5.05008,7.32078,1.4116,8.6728,10.7538,11.1637,5.15387,5.73253,2.77044
OAS2,25.6792,9.1663,9.0355,14.7287,28.9442,8.64378,16.5003,13.1837,12.641,15.7942,1.97124,24.9152,19.1032,6.78779,18.0845,14.3761,23.669,43.5718,31.9027,3.91111,15.8936,8.24531,6.73456,5.74007,7.5696,26.9001,15.2286,53.7944,10.9654,16.6503,26.9936,28.8957,22.5848,7.62495,4.28278,6.11762,4.73369,2.51739,19.4926,11.4079
TLR9,0.920651,1.08512,0.950091,1.39017,0.606181,0.763245,0.846877,0.473235,0.974704,0.842662,0.248916,0.931558,1.52496,2.17689,3.17516,2.3283,1.46507,1.49069,0.594906,1.57719,1.515,0.851955,0.339608,0.777873,1.14243,3.35902,1.03536,1.6221,1.02739,0.832779,1.10586,1.40294,1.28799,1.07382,1.72607,0.962485,2.09368,1.72444,0.590198,2.14141
NOTCH1,9.65323,7.84161,8.80249,10.6767,3.83854,3.29958,4.71872,1.25935,5.8656,5.28488,2.66147,4.71843,3.45479,9.2552,11.3405,14.085,3.54253,6.63496,2.93068,9.35154,11.0398,4.38598,5.28085,2.11538,12.223,7.11286,8.7623,7.07021,6.01105,7.34909,2.86819,3.64188,9.22063,3.64308,8.35133,3.10883,3.28293,2.76975,12.2339,7.15287
SAMD9,45.9205,16.7803,5.86345,12.1536,30.7836,7.8621,23.7833,19.3308,23.5977,19.9641,8.78075,20.7307,21.0962,8.48958,21.3208,11.8352,11.7549,22.0011,26.2351,6.37102,30.8241,19.7365,14.0693,19.0187,7.58807,28.4203,13.5409,34.7529,10.8527,10.2935,16.0396,18.7825,30.8518,13.7169,6.45708,9.13207,9.97398,8.00134,17.5933,17.013
PALMD,2.61529,3.8733,2.83356,2.28963,1.43893,1.62938,1.6554,4.43809,7.77748,14.3705,9.65866,4.84413,1.59973,3.20087,4.62496,2.32187,7.87657,3.96311,1.85482,1.35554,2.48599,3.87838,2.52904,4.3996,1.61393,2.18279,3.13916,2.01212,2.73361,1.6859,3.54489,2.97363,4.39258,1.02254,3.48948,4.74136,1.80636,2.3835,1.22874,8.48554
