To	From	Weight
IGLV2-8	GBP4	0.0915823903419568
IGLV3-1	GBP4	0.101222943563005
IGLV3-21	GBP4	0.113361097217189
IGLV3-22	GBP4	0.0762488022357284
IGLV3-32	GBP4	0.0724646669964108
IGLV6-57	GBP4	0.0874004296557968
IGLV7-46	GBP4	0.0697095128751938
IGLVI-20	GBP4	0.0605297432113351
IGSF6	GBP4	0.0977485290105454
IKZF1	GBP4	0.137601161141577
IKZF3	GBP4	0.134713318353518
IL10RA	GBP4	0.145593007548062
IL16	GBP4	0.103581312091221
IL18RAP	GBP4	0.0808974897599806
IL1R1	GBP4	0.0474493958503293
IL1RL1	GBP4	0.0312398255003945
IL21	GBP4	0.072557597837513
IL21R	GBP4	0.093724585845536
IL24	GBP4	0.064450475812839
IL2RA	GBP4	0.0968039119436806
IL2RB	GBP4	0.115923930395459
IL2RG	GBP4	0.0662405153854263
IL7	GBP4	0
IL7R	GBP4	0.0882561229596266
INSYN2B	GBP4	0.0506006703475287
IPCEF1	GBP4	0.115251169559304
IRAK3	GBP4	0.0872973012323803
IRF1	GBP4	0.0188341817470452
IRF2BP1	GBP4	0.0266107447771831
IRF9	GBP4	0.0535244214501461
ISYNA1	GBP4	0
ITGA4	GBP4	0.0814300406036659
ITGAL	GBP4	0.130528139084888
ITGAM	GBP4	0.0960517295039816
ITGB2	GBP4	0.10146967022198
ITK	GBP4	0.1347693314202
JAK2	GBP4	0.0898710108613797
JAML	GBP4	0.146693972046528
JCHAIN	GBP4	0.0905676056561689
KCNA3	GBP4	0.1282142994324
KIF22	GBP4	0.0596820629172786
KIR2DL4	GBP4	0.0508009833314047
KLHL6	GBP4	0.124744954468062
KLRB1	GBP4	0.0729906666887393
KLRC2	GBP4	0.076148440673771
KLRC3	GBP4	0.098413985989902
KLRC4	GBP4	0.123653313220766
KLRC4-KLRK1	GBP4	0.144692099452291
KLRD1	GBP4	0.133795963077932
KLRG1	GBP4	0.126707415578405
KLRK1	GBP4	0.142552289344508
KMT5C	GBP4	0.035954333087828
KRBA1	GBP4	0.032583963421893
KYNU	GBP4	0.0805453271193414
LACC1	GBP4	0
LACTB	GBP4	0.0195836857664055
LAIR1	GBP4	0.125411677661368
LAIR2	GBP4	0.0486709744031336
LAMP3	GBP4	0.0157002330159933
LAP3	GBP4	0.0502841626019048
LAPTM5	GBP4	0.109829313510683
LAT2	GBP4	0.0966393974372574
LAX1	GBP4	0.1278896605158
LCP1	GBP4	0.101302007580846
LCP2	GBP4	0.0808482064462941
LILRA1	GBP4	0.0846851307362499
LILRA2	GBP4	0.0799905648469426
LILRB1	GBP4	0.107455731771855
LILRB2	GBP4	0.0833786767931929
LILRB4	GBP4	0.0930924404649282
LILRB5	GBP4	0.101028215926262
LILRP2	GBP4	0.0386056010719785
LINC01890	GBP4	0.076040287334407
LINC02694	GBP4	0.0673051788426618
LIPM	GBP4	0.0611507201571764
LMO2	GBP4	0
LOC101927723	GBP4	0.090084805104743
LOC101928517	GBP4	0.0572295301761515
LOC101928816	GBP4	0.057211386299091
LOC102724020	GBP4	0.0506782011051725
LOC102724971	GBP4	0.0755199487462693
LOC102725101	GBP4	0.0552004995906269
LOC105370700	GBP4	0.0788833055918247
LOC105373024	GBP4	0.0949752056839764
LOC105377921	GBP4	0
LOC107985076	GBP4	0
LOC112268267	GBP4	0
LOC124901031	GBP4	0.0525771465700469
LOC124901298	GBP4	0
LOC124902368	GBP4	0.0728026879743451
LOC124902870	GBP4	0.10202578336238
LOC124903398	GBP4	0.0427504079714668
LOC124903668	GBP4	0.0701493253373487
LOC124903681	GBP4	0.0616932834430566
LOC124903905	GBP4	0
LOC124904439	GBP4	0.142362661603736
LOC124904752	GBP4	0.113527375579477
LOC124905215	GBP4	0.124406826510893
LPAR6	GBP4	0.0873018111720047
LPCAT2	GBP4	0.0332052937248192
LPXN	GBP4	0.0937558656433536
LRRC18	GBP4	0.0976890358390115
LRWD1	GBP4	0.0563415285573043
LSP1	GBP4	0.100159903468016
LST1	GBP4	0.112293296764619
