Gene	Category	Model_Gene
LRWD1	None	FALSE
AIM2	Immune Process	FALSE
MIB2	None	FALSE
C1orf35	None	FALSE
ATAD3A	DNA damage	FALSE
H1-10	None	FALSE
TNFSF13B	Immune Process|Lymph/Leuk Activation	FALSE
TMEM201	None	FALSE
KRBA1	None	FALSE
RBM10	None	FALSE
BRF1	None	FALSE
MARCHF1	None	FALSE
CROCC	None	FALSE
ABHD8	None	FALSE
SMPD4	None	FALSE
ZNF408	None	FALSE
ZGPAT	None	FALSE
LY96	Immune Process|TNF cytokine	FALSE
ZNF282	None	FALSE
WRAP73	None	FALSE
POLD1	DNA damage	FALSE
ACOT7	None	FALSE
TFEC	None	FALSE
RALY	None	FALSE
GLRX	None	FALSE
PAXX	None	FALSE
CASP1	Immune Process	FALSE
THOP1	None	FALSE
PANK4	None	FALSE
CD40	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	TRUE
AOAH	None	FALSE
ANKRD44	None	FALSE
CYTIP	None	FALSE
GIMAP8	None	FALSE
IL10RA	Immune Process|TNF cytokine	FALSE
DOCK2	Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
PIK3CG	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
KCNA3	None	FALSE
GIMAP5	None	FALSE
FLI1	None	FALSE
KLHL6	Immune Process	FALSE
GIMAP1-GIMAP5	None	FALSE
NCKAP1L	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
ITK	Lymph/Leuk Activation	FALSE
SLAMF6	Immune Process|Lymph/Leuk Activation|TNF cytokine	FALSE
CD96	None	FALSE
CCR5	Immune Process|TNF cytokine	FALSE
ITGAL	Lymph/Leuk Activation	FALSE
BIN2	None	FALSE
LILRB1	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
JAML	Lymph/Leuk Activation	FALSE
PTPRC	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
ARHGAP15	None	FALSE
WIPF1	None	FALSE
INSYN2B	None	FALSE
CD2	Lymph/Leuk Activation	FALSE
SLFN12L	None	FALSE
CSF2RB	Immune Process|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
PRKCB	Lymph/Leuk Activation	FALSE
IKZF1	Lymph/Leuk Activation	FALSE
JAK2	Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	TRUE
DPYD	None	FALSE
PTPN22	Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
TLR4	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
SAC3D1	None	FALSE
ARHGEF6	None	FALSE
SLC9A9	None	FALSE
FGL2	Lymph/Leuk Activation	FALSE
DAB2	None	FALSE
FYB1	None	FALSE
MCM2	None	FALSE
ARHGAP18	None	FALSE
GIMAP2	None	FALSE
BTK	Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
SAMSN1	Lymph/Leuk Activation	FALSE
GIMAP4	None	FALSE
LCP2	Lymph/Leuk/Mono/Mye proliferation	FALSE
EVI2A	None	FALSE
CTSS	Immune Process	TRUE
PLEK	None	FALSE
CD300A	Immune Process	FALSE
CCL4	None	FALSE
CCR1	None	FALSE
CD48	None	FALSE
HAVCR2	Immune Process	FALSE
VSIG4	Immune Process	FALSE
LAPTM5	Immune Process	FALSE
LST1	None	FALSE
CD28	Immune Process	FALSE
GMFG	None	FALSE
IFI30	None	FALSE
CD52	None	FALSE
CCRL2	None	FALSE
CD53	None	FALSE
FPR1	Immune Process	FALSE
SRGN	None	FALSE
BCL2A1	None	FALSE
SLC2A5	None	FALSE
TLR2	Immune Process	FALSE
FCER1G	Immune Process	FALSE
