Gene	Post	Pre	Post_Pre	Label	Funct_Annot
CD93	0.122151283273814	0.105790498801255	0.0163607844725586	None	None
CD96	0.127817998537693	0.162984764933362	-0.0351667663956686	None	Immune Checkpoint
CDT1	0.0679802914031201	0.122593659012476	-0.0546133676093561	None	None
CEACAM21	0.143261248498395	0.122883467695256	0.0203777808031392	None	None
CELF2	0.0821861862478326	0.102146829261763	-0.0199606430139302	None	None
CFH	0.0602695368450381	0.106705413025744	-0.0464358761807064	None	None
CFLAR	0	0.103401033635293	0	None	Apoptosis
CHTF18	0	0.104754658229533	0	None	None
CLEC10A	0.119401272415643	0.0889999353630646	0.0304013370525784	Post_Only	Antigen Processing
CLEC12A	0.0977429304033309	0.117921460369849	-0.0201785299665183	None	None
CLEC12B	0.062481532996953	0.107904038638548	-0.0454225056415952	None	None
CLEC1A	0.113075759335777	0.0894336812816673	0.0236420780541093	None	None
CLEC2B	0.0923355242714909	0.140131070436921	-0.0477955461654297	None	None
CLEC4A	0.073532299143985	0.146165345227434	-0.0726330460834492	None	None
CLEC4C	0.0661039920803362	0.109888343596474	-0.0437843515161382	None	None
CLEC4D	0.0788156545753202	0.122683597457537	-0.0438679428822164	None	None
CLEC4E	0.110550675315173	0.122244732663323	-0.0116940573481506	Shared	None
CLEC5A	0.0214123565975356	0.103107257566552	-0.0816949009690162	Pre_Only	Innate IFN Response
CLEC6A	0.0706998225405812	0.122096827279144	-0.0513970047385629	None	None
CLEC7A	0.108336682927867	0.16954694229833	-0.0612102593704628	None	Innate IFN Response
CLEC9A	0.0584671853290615	0.100478878681208	-0.0420116933521462	None	None
CLECL1P	0.091168665722435	0.108798615728113	-0.0176299500056784	None	None
CLIC2	0	0.152124706832354	0	Pre_Only	Innate IFN Response
CLNK	0.0835860496116774	0.127412122358143	-0.0438260727464654	None	None
CMKLR1	0.121057257197535	0.138000948871266	-0.0169436916737313	Shared	Immune Cell Infiltration
CMPK2	0.0478172863176302	0.115784864973278	-0.0679675786556478	None	None
CNDP2	0.0272824045321834	0.109053960757099	-0.0817715562249154	Pre_Only	None
CPNE8	0.0898055420857635	0.107101374339486	-0.0172958322537222	None	None
CPSF4	0.0285537462048601	0.106452822847688	-0.0778990766428282	None	None
CR1	0.0826330801922403	0.106837659433889	-0.0242045792416492	None	None
CRTAM	0.130230865708136	0.138112526479893	-0.00788166077175667	Shared	NK/T Receptor Signaling
CSF1R	0.0907349469821241	0.111495696980127	-0.0207607499980033	None	None
CSF2RB	0.121198628509613	0.137494582157532	-0.0162959536479192	Shared	None
CTLA4	0.117337263902012	0.144635138355746	-0.0272978744537341	None	None
CTSH	0.0838266541393919	0.101967361104494	-0.018140706965102	None	None
CTSL	0.0341208106572868	0.100462669989243	-0.0663418593319562	None	None
CTSO	0	0.12219435411247	0	Pre_Only	Antigen Processing
CTSS	0.105566511777447	0.174900154158604	-0.0693336423811571	None	Antigen Processing
CXCL10	0.0729695760240548	0.134449480300696	-0.061479904276641	None	None
CXCL11	0.0653581957712913	0.11558310099376	-0.0502249052224689	None	None
CXCL13	0.0743277621399977	0.122675693490178	-0.0483479313501801	None	None
CXCL9	0.095944541987248	0.132764429344359	-0.0368198873571106	None	None
CXCR3	0.10848023261013	0.0730950378673617	0.0353851947427682	Post_Only	NK/T Receptor Signaling
CXCR4	0.104422769436518	0.12186911958262	-0.0174463501461025	None	None
CXCR6	0.125139319492745	0.120116275736281	0.00502304375646397	Shared	Immune Cell Infiltration
CYBB	0.115798660149015	0.157459003044118	-0.0416603428951028	None	None
CYLD	0.0475221157781534	0.111931544487361	-0.0644094287092081	None	None
CYP7B1	0.0877339028293693	0.10259028197931	-0.0148563791499405	None	None
CYRIA	0	0.135509708858319	0	Pre_Only	Immune Cell Infiltration
CYSLTR1	0.122932561287862	0.125530440103885	-0.00259787881602219	Shared	T/NK Activation
CYSLTR2	0	0.110286114872429	0	None	None
CYTH4	0.124782269720252	0.120130349556402	0.0046519201638502	Shared	None
CYTIP	0.136439258846623	0.166840133112713	-0.0304008742660909	None	Immune Checkpoint
DAB2	0.0486538796146584	0.120836616318234	-0.0721827367035754	None	None
DCANP1	0.116290773237996	0.11636929041795	-7.85171799532469e-05	Shared	None
DDX60L	0	0.119661959586049	0	None	Innate IFN Response
DNAJC5B	0.0652482190954034	0.113439338059908	-0.0481911189645044	None	None
DOCK2	0.126353829170557	0.15766453204356	-0.0313107028730027	None	None
DOK2	0.123309458181754	0.0785961077511515	0.0447133504306023	Post_Only	Immune Checkpoint
DPYD	0.0946126247458235	0.136850773660965	-0.0422381489151415	None	None
DTHD1	0.0788801667563328	0.102901183709757	-0.0240210169534238	None	None
DTX3L	0.0106670678353764	0.100958116196365	-0.0902910483609884	Pre_Only	None
DVL1	0.0410949862576608	0.104482871225606	-0.0633878849679456	None	None
ELK3	0.0413949699166425	0.130503585070748	-0.0891086151541057	Pre_Only	None
ELL2	0.0290746246359766	0.111215921456865	-0.0821412968208886	Pre_Only	None
EMCN	0.102041790383311	0.0840445214943866	0.0179972688889239	None	None
EOMES	0.123536054800255	0.125432631688749	-0.00189657688849335	Shared	None
EPSTI1	0.0671725843397601	0.132446205213023	-0.0652736208732626	None	None
ERAP1	0.0500925875411301	0.100531738438395	-0.0504391508972653	None	None
ETS1	0	0.104850802047051	0	None	T/NK Activation
EVI2A	0.111630905142532	0.160548395927738	-0.048917490785206	None	Immune Checkpoint
F13A1	0.0971599592836642	0.112032931960689	-0.0148729726770248	None	None
FAM20A	0.0279206917110765	0.111375526275243	-0.0834548345641667	Pre_Only	None
