To	From	Weight
IGKV7-3	GBP4	0.100050314236068
IGLC2	GBP4	0.105743141102389
IGLC3	GBP4	0.105390938506617
IGLJ2	GBP4	0.0806628413916175
IGLV1-40	GBP4	0.0808751277165743
IGLV2-11	GBP4	0.0982246232196175
IGLV2-14	GBP4	0.107073938348519
IGLV2-23	GBP4	0.10162044164193
IGLV2-8	GBP4	0.103292824598281
IGLV3-1	GBP4	0.0921438856091647
IGLV3-21	GBP4	0.0922791170741977
IGLV3-22	GBP4	0.105575275533498
IGLV3-32	GBP4	0.110846494979011
IGLV6-57	GBP4	0.10072681137639
IGLV7-46	GBP4	0.112671758848832
IGLVI-20	GBP4	0.102720585688354
IGSF6	GBP4	0.130648677097071
IKZF1	GBP4	0.153981047657853
IKZF3	GBP4	0.117398620397097
IL10RA	GBP4	0.149857999292162
IL16	GBP4	0.125414353925442
IL18RAP	GBP4	0.124725943764318
IL1R1	GBP4	0.100473193637289
IL1RL1	GBP4	0.100886232725517
IL21	GBP4	0.124654286835084
IL21R	GBP4	0.128813702270544
IL24	GBP4	0.101659330628789
IL2RA	GBP4	0.158600529713123
IL2RB	GBP4	0.110951643021628
IL2RG	GBP4	0.11081894080311
IL7	GBP4	0.107118381072519
IL7R	GBP4	0.162311756821604
INSYN2B	GBP4	0.154349016875801
IPCEF1	GBP4	0.113664733938024
IRAK3	GBP4	0.109779612364229
IRF1	GBP4	0.114638232827789
IRF2BP1	GBP4	0.10448086922552
IRF9	GBP4	0.112421737624175
ISYNA1	GBP4	0.104328232135202
ITGA4	GBP4	0.130491985577591
ITGAL	GBP4	0.133851610187333
ITGAM	GBP4	0.113227067180527
ITGB2	GBP4	0.103060735264384
ITK	GBP4	0.148169954712146
JAK2	GBP4	0.104588410249846
JAML	GBP4	0.155588397540243
JCHAIN	GBP4	0.13794083157582
KCNA3	GBP4	0.161713499859313
KIF22	GBP4	0.105720865931541
KIR2DL4	GBP4	0.136707551209258
KLHL6	GBP4	0.164583570367725
KLRB1	GBP4	0.126785756474792
KLRC2	GBP4	0.120987415021493
KLRC3	GBP4	0.124001828018475
KLRC4	GBP4	0.146635672340692
KLRC4-KLRK1	GBP4	0.137840948032144
KLRD1	GBP4	0.140691776009258
KLRG1	GBP4	0.105749943892199
KLRK1	GBP4	0.133665415744869
KMT5C	GBP4	0.108769887858412
KRBA1	GBP4	0.103677775067325
KYNU	GBP4	0.178919327370354
LACC1	GBP4	0.102211887911886
LACTB	GBP4	0.105939770666482
LAIR1	GBP4	0.144596362847796
LAIR2	GBP4	0.126405248954821
LAMP3	GBP4	0.120608017526789
LAP3	GBP4	0.141970775421263
LAPTM5	GBP4	0.136762183075819
LAT2	GBP4	0.128280802120168
LAX1	GBP4	0.116163719971737
LCP1	GBP4	0.132697879029326
LCP2	GBP4	0.129702391430221
LILRA1	GBP4	0.101303069770297
LILRA2	GBP4	0.117135012836497
LILRB1	GBP4	0.156934890812882
LILRB2	GBP4	0.118738579311474
LILRB4	GBP4	0.150219443710853
LILRB5	GBP4	0.0505434653235696
LILRP2	GBP4	0.105295851275838
LINC01890	GBP4	0.109680263693649
LINC02694	GBP4	0.110449317634016
LIPM	GBP4	0.129450118126028
LMO2	GBP4	0.11994567736995
LOC101927723	GBP4	0.132428155744586
LOC101928517	GBP4	0.123557400848254
LOC101928816	GBP4	0.116817760712059
LOC102724020	GBP4	0.119712931189052
LOC102724971	GBP4	0.101412617131902
LOC102725101	GBP4	0.111643190025633
LOC105370700	GBP4	0.108221820014409
LOC105373024	GBP4	0.110160123565258
LOC105377921	GBP4	0.10829980542564
LOC107985076	GBP4	0.137577139834919
LOC112268267	GBP4	0.140439751642084
LOC124901031	GBP4	0.107826840142569
LOC124901298	GBP4	0.130203374656124
LOC124902368	GBP4	0.121758230476192
LOC124902870	GBP4	0.131597120724609
LOC124903398	GBP4	0.102418807530305
LOC124903668	GBP4	0.118428667316575
LOC124903681	GBP4	0.115879203037539
LOC124903905	GBP4	0.114504764947716
LOC124904439	GBP4	0.161732794374654
LOC124904752	GBP4	0.081682902528147
LOC124905215	GBP4	0.117958638030305
LPAR6	GBP4	0.128304630405933
LPCAT2	GBP4	0.104164249196144
LPXN	GBP4	0.126691405132832
LRRC18	GBP4	0.127453561820464
LRWD1	GBP4	0.128521716275195
LSP1	GBP4	0.0704807919987015
LST1	GBP4	0.134948443777689
LY86	GBP4	0.143158345447965
LY9	GBP4	0.115882236299028
LY96	GBP4	0.169159144273078
LYZ	GBP4	0.164071841524039
MAN1A1	GBP4	0.119007203045807
MAN2A1	GBP4	0.102491089959512
MAP3K8	GBP4	0.109249496157103
MARCHF1	GBP4	0.156780192323015
MARCKS	GBP4	0.101197001065586
MATCAP2	GBP4	0.113051046376009
MCEMP1	GBP4	0.110268167651561
MCM2	GBP4	0.140340835715384
MCM4	GBP4	0.11235216624733
MCM5	GBP4	0.10648704061387
MCM7	GBP4	0.117349161563421
MCTP1	GBP4	0.10886825102632
MDFIC	GBP4	0.134237995749908
MEF2A	GBP4	0.104894523686744
MEF2C	GBP4	0.11708158456101
MFSD1	GBP4	0.116877745853102
MIB2	GBP4	0.105826487524227
MIR1292	GBP4	0.10406359459457
MIR6891	GBP4	0.102634343232431
MLKL	GBP4	0.134587301428646
MNDA	GBP4	0.133884611891096
MPEG1	GBP4	0.172108485247034
MRC1	GBP4	0.117744222247912
MS4A1	GBP4	0.115903010681203
MS4A4A	GBP4	0.134942695565715
MS4A4E	GBP4	0.127654067964488
